river_km,lon,lat,label,source_file,source_km_field,build_time_local
0,-122.47784465640474,37.819338104404395,X2 0 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
1,-122.46694243622395,37.82190586901847,X2 1 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
2,-122.45603946933774,37.82447264211024,X2 2 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
3,-122.44513575595779,37.82703842358331,X2 3 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
4,-122.43423129629598,37.82960321334106,X2 4 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
5,-122.42332609056412,37.832167011287,X2 5 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
6,-122.41242013897431,37.834729817324735,X2 6 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
7,-122.4102015198338,37.84246732566587,X2 7 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
8,-122.41009400518507,37.851462428539364,X2 8 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
9,-122.40998646474989,37.86045753071978,X2 9 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
10,-122.41564866121199,37.86812138943374,X2 10 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
11,-122.42186423801493,37.87565753563464,X2 11 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
12,-122.42808106541135,37.88319335976034,X2 12 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
13,-122.43429914372521,37.89072886184578,X2 13 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
14,-122.44051847328066,37.89826404192589,X2 14 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
15,-122.44328540017908,37.906979071348104,X2 15 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
16,-122.44465527211432,37.915883239051865,X2 16 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
17,-122.44547637532936,37.92485534273839,X2 17 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
18,-122.44629767539372,37.93382744203569,X2 18 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
19,-122.44727226781382,37.94278894913582,X2 19 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
20,-122.44843921813461,37.951737162465484,X2 20 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
21,-122.44960644756112,37.96068536634027,X2 21 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
22,-122.44812077113372,37.969165692722235,X2 22 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
23,-122.44223769167722,37.97687050357196,X2 23 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
24,-122.43635340041611,37.98457502816508,X2 24 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
25,-122.43046789702123,37.992279266554156,X2 25 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
26,-122.42458118116339,37.99998321879177,X2 26 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
27,-122.41869325251326,38.007686884930386,X2 27 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
28,-122.41056170378975,38.013850987957696,X2 28 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
29,-122.40170093526109,38.01951482921875,X2 29 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
30,-122.39283882436104,38.0251780187048,X2 30 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
31,-122.38397537093941,38.03084055632314,X2 31 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
32,-122.3750046190004,38.03636747807011,X2 32 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
33,-122.36462406774871,38.04009935206106,X2 33 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
34,-122.35424248010554,38.043830330546214,X2 34 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
35,-122.34385985616466,38.04756041340703,X2 35 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
36,-122.33347619601993,38.05128960052489,X2 36 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
37,-122.32231542906891,38.052968157860825,X2 37 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
38,-122.31103732824218,38.05433696883507,X2 38 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
39,-122.29975881443663,38.05570472227043,X2 39 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
40,-122.28847988794888,38.057071418109444,X2 40 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
41,-122.27720054907552,38.05843705629459,X2 41 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
42,-122.2658622645391,38.05940717595513,X2 42 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
43,-122.25448739426075,38.060131403716206,X2 43 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
44,-122.24311230365475,38.060854555735624,X2 44 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
45,-122.231721256736,38.06082568499078,X2 45 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
46,-122.22032198934606,38.06040013800571,X2 46 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
47,-122.20899738824457,38.059539614781656,X2 47 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
48,-122.19786505499677,38.05756126871306,X2 48 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
49,-122.18690618428748,38.05532262009505,X2 49 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
50,-122.17852587876523,38.04921739173213,X2 50 km,01_raw_data/misc_reference/x2_km.shp,RKI,2026-06-22 23:18:18 PDT
