"candidate_stable_id","runtime_display_name","architecture","catalog_path","definition_authority","assembly_authority","legend_authority","label_authority","popup_authority","filter_authority","lifecycle_summary","notes_or_resources","domain_review_fields","confidence","gap"
"huc2","Basins – HUC2 – PRISM/BCMv8 (4)","LOCAL;LOCAL_STANDARD_LEAFLET;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Local/Water/Hydrologic units","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=huc2],canonical_group/cache_file/geometry_family; 03_functions/leaflet_layer_local_polygon_helpers.r:pt_add_huc_layer(code_col=huc2); 04_processed_data/cache/latest/huc_all_map.rds::huc2 accepted generated cache; 02_preprocess/02_huc_gw_county_pct_blm.r,02_preprocess/13_huc_climate_recharge_summary.r,02_preprocess/14_huc4_huc2_from_huc6_climate_rollup.r protected producer references only","05_map_build/04_build_portatreasure2_core_map.r:layers$huc_all,pt_register_local_layer_feature_counts count key Basins – HUC2 – PRISM/BCMv8 via pt_count_huc_rows key huc2,CORE_OVERLAY_GROUPS HUC2 entry,pt_add_huc_layers; 00_config/config_map_display.r:default_visible_overlays excludes HUC group (default hidden)","03_functions/leaflet_huc_theme_helpers.r:PT_HUC_THEME_REGISTRY,pt_huc_blm_legend_one,pt_huc_legend_one,pt_build_huc_theme_data,pt_add_huc_theme_controls; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL legend update","00_config/config_labels.r:LABEL_ZOOM/LABEL_INCLUDE/LABEL_FIELDS[huc2]; 05_map_build/05_build_label_cache.r:huc2 label child; 03_functions/leaflet_label_helpers.r HUC label groups; labels_all_map.rds::huc2","03_functions/popup_helpers.r:pt_make_huc_popups,pt_make_huc_hover_tooltips; 05_map_build/02_cache_blocks/02_cache_huc_climate_theme.r:popup_html for huc2; 03_functions/leaflet_layer_local_polygon_helpers.r popup/hover binding","03_functions/leaflet_huc_theme_helpers.r:theme payload huc2; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL minimum-%BLM membership/theme filter","Initialize/register geometry: pt_add_huc_layer/Leaflet group; activate/update/filter/tooltip/popup/clear/destroy: BRIM_HUC_LOCAL overlay events,generation scheduler,timers,state,DOM,Clear Local/Clear All,destroy; shared renderer=L.canvas pane_huc; network=NOT_APPLICABLE; live=NOT_APPLICABLE","05_map_build/04_build_portatreasure2_core_map.r:HUC Notes block; 08_docs/BRIM_HUC_PERFORMANCE_AND_POPUPS.md; DATA.md; A02_FIRST_DESCRIPTIVE_SLICE_PROPOSAL.md accepted catalog path and mechanical identity","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","A02_CONTROLLER_RENDERER_DESCRIPTION_CORRECTED_BY_CURRENT_SOURCE"
"huc4","Basins – HUC4 – PRISM/BCMv8 (16)","LOCAL;LOCAL_STANDARD_LEAFLET;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Local/Water/Hydrologic units","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=huc4],canonical_group/cache_file/geometry_family; 03_functions/leaflet_layer_local_polygon_helpers.r:pt_add_huc_layer(code_col=huc4); 04_processed_data/cache/latest/huc_all_map.rds::huc4 accepted generated cache; 02_preprocess/02_huc_gw_county_pct_blm.r,02_preprocess/13_huc_climate_recharge_summary.r,02_preprocess/14_huc4_huc2_from_huc6_climate_rollup.r protected producer references only","05_map_build/04_build_portatreasure2_core_map.r:layers$huc_all,pt_register_local_layer_feature_counts count key Basins – HUC4 – PRISM/BCMv8 via pt_count_huc_rows key huc4,CORE_OVERLAY_GROUPS HUC4 entry,pt_add_huc_layers; 00_config/config_map_display.r:default_visible_overlays excludes HUC group (default hidden)","03_functions/leaflet_huc_theme_helpers.r:PT_HUC_THEME_REGISTRY,pt_huc_blm_legend_one,pt_huc_legend_one,pt_build_huc_theme_data,pt_add_huc_theme_controls; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL legend update","00_config/config_labels.r:LABEL_ZOOM/LABEL_INCLUDE/LABEL_FIELDS[huc4]; 05_map_build/05_build_label_cache.r:huc4 label child; 03_functions/leaflet_label_helpers.r HUC label groups; labels_all_map.rds::huc4","03_functions/popup_helpers.r:pt_make_huc_popups,pt_make_huc_hover_tooltips; 05_map_build/02_cache_blocks/02_cache_huc_climate_theme.r:popup_html for huc4; 03_functions/leaflet_layer_local_polygon_helpers.r popup/hover binding","03_functions/leaflet_huc_theme_helpers.r:theme payload huc4; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL minimum-%BLM membership/theme filter","Initialize/register geometry: pt_add_huc_layer/Leaflet group; activate/update/filter/tooltip/popup/clear/destroy: BRIM_HUC_LOCAL overlay events,generation scheduler,timers,state,DOM,Clear Local/Clear All,destroy; shared renderer=L.canvas pane_huc; network=NOT_APPLICABLE; live=NOT_APPLICABLE","05_map_build/04_build_portatreasure2_core_map.r:HUC Notes block; 08_docs/BRIM_HUC_PERFORMANCE_AND_POPUPS.md; DATA.md; A02_FIRST_DESCRIPTIVE_SLICE_PROPOSAL.md accepted catalog path and mechanical identity","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","A02_CONTROLLER_RENDERER_DESCRIPTION_CORRECTED_BY_CURRENT_SOURCE"
"huc6","Basins – HUC6 – PRISM/BCMv8 (24)","LOCAL;LOCAL_STANDARD_LEAFLET;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Local/Water/Hydrologic units","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=huc6],canonical_group/cache_file/geometry_family; 03_functions/leaflet_layer_local_polygon_helpers.r:pt_add_huc_layer(code_col=huc6); 04_processed_data/cache/latest/huc_all_map.rds::huc6 accepted generated cache; 02_preprocess/02_huc_gw_county_pct_blm.r,02_preprocess/13_huc_climate_recharge_summary.r,02_preprocess/14_huc4_huc2_from_huc6_climate_rollup.r protected producer references only","05_map_build/04_build_portatreasure2_core_map.r:layers$huc_all,pt_register_local_layer_feature_counts count key Basins – HUC6 – PRISM/BCMv8 via pt_count_huc_rows key huc6,CORE_OVERLAY_GROUPS HUC6 entry,pt_add_huc_layers; 00_config/config_map_display.r:default_visible_overlays excludes HUC group (default hidden)","03_functions/leaflet_huc_theme_helpers.r:PT_HUC_THEME_REGISTRY,pt_huc_blm_legend_one,pt_huc_legend_one,pt_build_huc_theme_data,pt_add_huc_theme_controls; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL legend update","00_config/config_labels.r:LABEL_ZOOM/LABEL_INCLUDE/LABEL_FIELDS[huc6]; 05_map_build/05_build_label_cache.r:huc6 label child; 03_functions/leaflet_label_helpers.r HUC label groups; labels_all_map.rds::huc6","03_functions/popup_helpers.r:pt_make_huc_popups,pt_make_huc_hover_tooltips; 05_map_build/02_cache_blocks/02_cache_huc_climate_theme.r:popup_html for huc6; 03_functions/leaflet_layer_local_polygon_helpers.r popup/hover binding","03_functions/leaflet_huc_theme_helpers.r:theme payload huc6; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL minimum-%BLM membership/theme filter","Initialize/register geometry: pt_add_huc_layer/Leaflet group; activate/update/filter/tooltip/popup/clear/destroy: BRIM_HUC_LOCAL overlay events,generation scheduler,timers,state,DOM,Clear Local/Clear All,destroy; shared renderer=L.canvas pane_huc; network=NOT_APPLICABLE; live=NOT_APPLICABLE","05_map_build/04_build_portatreasure2_core_map.r:HUC Notes block; 08_docs/BRIM_HUC_PERFORMANCE_AND_POPUPS.md; DATA.md; A02_FIRST_DESCRIPTIVE_SLICE_PROPOSAL.md accepted catalog path and mechanical identity","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","A02_CONTROLLER_RENDERER_DESCRIPTION_CORRECTED_BY_CURRENT_SOURCE"
"huc8","Basins – HUC8 – PRISM/BCMv8 (140)","LOCAL;LOCAL_STANDARD_LEAFLET;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Local/Water/Hydrologic units","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=huc8],canonical_group/cache_file/geometry_family; 03_functions/leaflet_layer_local_polygon_helpers.r:pt_add_huc_layer(code_col=huc8); 04_processed_data/cache/latest/huc_all_map.rds::huc8 accepted generated cache; 02_preprocess/02_huc_gw_county_pct_blm.r,02_preprocess/13_huc_climate_recharge_summary.r protected producer references only","05_map_build/04_build_portatreasure2_core_map.r:layers$huc_all,pt_register_local_layer_feature_counts count key Basins – HUC8 – PRISM/BCMv8 via pt_count_huc_rows key huc8,CORE_OVERLAY_GROUPS HUC8 entry,pt_add_huc_layers; 00_config/config_map_display.r:default_visible_overlays excludes HUC group (default hidden)","03_functions/leaflet_huc_theme_helpers.r:PT_HUC_THEME_REGISTRY,pt_huc_blm_legend_one,pt_huc_legend_one,pt_build_huc_theme_data,pt_add_huc_theme_controls; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL legend update","00_config/config_labels.r:LABEL_ZOOM/LABEL_INCLUDE/LABEL_FIELDS[huc8]; 05_map_build/05_build_label_cache.r:huc8 label child; 03_functions/leaflet_label_helpers.r HUC label groups; labels_all_map.rds::huc8","03_functions/popup_helpers.r:pt_make_huc_popups,pt_make_huc_hover_tooltips; 05_map_build/02_cache_blocks/02_cache_huc_climate_theme.r:popup_html for huc8; 03_functions/leaflet_layer_local_polygon_helpers.r popup/hover binding","03_functions/leaflet_huc_theme_helpers.r:theme payload huc8; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL minimum-%BLM membership/theme filter","Initialize/register geometry: pt_add_huc_layer/Leaflet group; activate/update/filter/tooltip/popup/clear/destroy: BRIM_HUC_LOCAL overlay events,generation scheduler,timers,state,DOM,Clear Local/Clear All,destroy; shared renderer=L.canvas pane_huc; network=NOT_APPLICABLE; live=NOT_APPLICABLE","05_map_build/04_build_portatreasure2_core_map.r:HUC Notes block; 08_docs/BRIM_HUC_PERFORMANCE_AND_POPUPS.md; DATA.md; A02_FIRST_DESCRIPTIVE_SLICE_PROPOSAL.md accepted catalog path and mechanical identity","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","A02_CONTROLLER_RENDERER_DESCRIPTION_CORRECTED_BY_CURRENT_SOURCE"
"huc10","Basins – HUC10 – PRISM/BCMv8 (~1.1k)","LOCAL;LOCAL_STANDARD_LEAFLET;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Local/Water/Hydrologic units","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=huc10],canonical_group/cache_file/geometry_family,map_display_flag=add_huc10; 03_functions/leaflet_layer_local_polygon_helpers.r:pt_add_huc_layer(code_col=huc10); 04_processed_data/cache/latest/huc_all_map.rds::huc10 accepted generated cache; 02_preprocess/02_huc_gw_county_pct_blm.r,02_preprocess/13_huc_climate_recharge_summary.r protected producer references only","05_map_build/04_build_portatreasure2_core_map.r:layers$huc_all,pt_register_local_layer_feature_counts count key Basins – HUC10 – PRISM/BCMv8 via pt_count_huc_rows key huc10,CORE_OVERLAY_GROUPS conditional HUC10 entry,pt_add_huc_layers; 00_config/config_map_display.r:add_huc10=TRUE and default_visible_overlays excludes HUC group (default hidden)","03_functions/leaflet_huc_theme_helpers.r:PT_HUC_THEME_REGISTRY,pt_huc_blm_legend_one,pt_huc_legend_one,pt_build_huc_theme_data,pt_add_huc_theme_controls; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL legend update","00_config/config_labels.r:LABEL_ZOOM/LABEL_INCLUDE/LABEL_FIELDS[huc10]; 05_map_build/05_build_label_cache.r:huc10 label child; 03_functions/leaflet_label_helpers.r HUC label groups; labels_all_map.rds::huc10","03_functions/popup_helpers.r:pt_make_huc_popups,pt_make_huc_hover_tooltips; 05_map_build/02_cache_blocks/02_cache_huc_climate_theme.r:popup_html for huc10; 03_functions/leaflet_layer_local_polygon_helpers.r popup/hover binding","03_functions/leaflet_huc_theme_helpers.r:theme payload huc10; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL minimum-%BLM membership/theme filter","Initialize/register geometry: pt_add_huc_layer/Leaflet group when MAP_DISPLAY add_huc10=TRUE; activate/update/filter/tooltip/popup/clear/destroy: BRIM_HUC_LOCAL overlay events,generation scheduler,timers,state,DOM,Clear Local/Clear All,destroy; shared renderer=L.canvas pane_huc; network=NOT_APPLICABLE; live=NOT_APPLICABLE","05_map_build/04_build_portatreasure2_core_map.r:HUC Notes block; 08_docs/BRIM_HUC_PERFORMANCE_AND_POPUPS.md; DATA.md; A02_FIRST_DESCRIPTIVE_SLICE_PROPOSAL.md accepted catalog path and mechanical identity","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","A02_CONTROLLER_RENDERER_DESCRIPTION_CORRECTED_BY_CURRENT_SOURCE"
"huc12","Basins – HUC12 – PRISM/BCMv8 (~5.1k)","LOCAL;LOCAL_STANDARD_LEAFLET;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Local/Water/Hydrologic units","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=huc12],canonical_group/cache_file/geometry_family,map_display_flag=add_huc12; 03_functions/leaflet_layer_local_polygon_helpers.r:pt_add_huc_layer(code_col=huc12); 04_processed_data/cache/latest/huc_all_map.rds::huc12 accepted generated cache; 02_preprocess/02_huc_gw_county_pct_blm.r,02_preprocess/13_huc_climate_recharge_summary.r protected producer references only","05_map_build/04_build_portatreasure2_core_map.r:layers$huc_all,pt_register_local_layer_feature_counts count key Basins – HUC12 – PRISM/BCMv8 via pt_count_huc_rows key huc12,CORE_OVERLAY_GROUPS conditional HUC12 entry,pt_add_huc_layers; 00_config/config_map_display.r:add_huc12=TRUE and default_visible_overlays excludes HUC group (default hidden)","03_functions/leaflet_huc_theme_helpers.r:PT_HUC_THEME_REGISTRY,pt_huc_blm_legend_one,pt_huc_legend_one,pt_build_huc_theme_data,pt_add_huc_theme_controls; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL legend update","00_config/config_labels.r:LABEL_ZOOM/LABEL_INCLUDE/LABEL_FIELDS[huc12]; 05_map_build/05_build_label_cache.r:huc12 label child; 03_functions/leaflet_label_helpers.r HUC label groups; labels_all_map.rds::huc12","03_functions/popup_helpers.r:pt_make_huc_popups,pt_make_huc_hover_tooltips; 05_map_build/02_cache_blocks/02_cache_huc_climate_theme.r:popup_html for huc12; 03_functions/leaflet_layer_local_polygon_helpers.r popup/hover binding","03_functions/leaflet_huc_theme_helpers.r:theme payload huc12; 03_functions/js/brim_huc_theme_control.js:BRIM_HUC_LOCAL minimum-%BLM membership/theme filter","Initialize/register geometry: pt_add_huc_layer/Leaflet group when MAP_DISPLAY add_huc12=TRUE; activate/update/filter/tooltip/popup/clear/destroy: BRIM_HUC_LOCAL overlay events,generation scheduler,timers,state,DOM,Clear Local/Clear All,destroy; shared renderer=L.canvas pane_huc; network=NOT_APPLICABLE; live=NOT_APPLICABLE","05_map_build/04_build_portatreasure2_core_map.r:HUC Notes block; 08_docs/BRIM_HUC_PERFORMANCE_AND_POPUPS.md; DATA.md; A02_FIRST_DESCRIPTIVE_SLICE_PROPOSAL.md accepted catalog path and mechanical identity","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","A02_CONTROLLER_RENDERER_DESCRIPTION_CORRECTED_BY_CURRENT_SOURCE"
"gw_bull118","Basins – GW Basins, Bulletin 118 (515)","LOCAL;LOCAL_STANDARD_LEAFLET;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;ORDINARY_LEAFLET;NON_GENERIC_RENDERER","Local/Water/Groundwater basins","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=gw_bull118],canonical_group/cache_file/geometry_family; 03_functions/leaflet_layer_local_polygon_helpers.r:pt_add_county_gw_layers and Bulletin 118 polygon binding; 03_functions/bulletin118_data_helpers.r:PT_BULLETIN118_EXPECTED_ROWS and style/identity helpers; 04_processed_data/cache/latest/gw_bull118_map.rds accepted generated cache","05_map_build/04_build_portatreasure2_core_map.r:layers$gw,pt_register_local_layer_feature_counts count key Basins – GW Basins, Bulletin 118 via pt_count_sf_rows,CORE_OVERLAY_GROUPS GW – Bull. 118 entry,pt_add_county_gw_layers; default hidden through map_display default_visible_overlays","NOT_APPLICABLE","00_config/config_labels.r:LABEL_ZOOM/LABEL_INCLUDE/LABEL_FIELDS[gw_bull118]; 05_map_build/05_build_label_cache.r:gw_bull118 label child; 03_functions/leaflet_label_helpers.r label groups; labels_all_map.rds::gw_bull118","03_functions/popup_helpers.r:pt_make_gw_popups,pt_make_gw_hover_tooltips; 03_functions/leaflet_layer_local_polygon_helpers.r popup/hover binding","NOT_APPLICABLE","Initialize/register geometry: pt_add_county_gw_layers/Leaflet group; activate/clear/destroy: ordinary Leaflet overlay ownership and shared Clear Local/Clear All; update/filter=NO_PHASE; renderer=L.canvas pane_huc with Bulletin 118 feature renderer; labels/popup/hover owned by current Local helpers; network=NOT_APPLICABLE; live=NOT_APPLICABLE","03_functions/bulletin118_data_helpers.r:exact 515-row identity/source contract; 05_map_build/04_build_portatreasure2_core_map.r:current count and assembly; DATA.md","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","NO_CUSTOM_CONTROLLER;DOMAIN_REVIEW_REQUIRED"
"EXT143","CARB air districts","EXTERNAL;EXTERNAL_CATALOG_BRIDGE;ACTIVE_ENABLED;USER_VISIBLE;SHARED_CONTROLLER;GENERIC_CATEGORICAL_RENDERER","External/Air / Smoke/CARB context","00_config/external_service_catalog.csv:external_layer_id=EXT143,display_name=CARB air districts,service_type=feature,default_load_mode=current_view,service_url current authority","03_functions/leaflet_tools_adddata_helpers.r:pt_add_tools_adddata_panel embeds 00_config/external_service_catalog.csv; 03_functions/js/leaflet_tools_adddata_panel.js:window.ptOpsExternalCatalogBridge and current-view shared loader; custom_loader=FALSE","03_functions/js/leaflet_tools_adddata_panel.js:generic_categorical adapter and ptGenericCategoricalLegendHtml; 00_config/external_service_catalog.csv:EXT143 style/legend fields","NOT_APPLICABLE","03_functions/js/leaflet_tools_adddata_panel.js:shared_vector_feature hover/popup path; 00_config/external_service_catalog.csv:EXT143 popup_fields/popup_aliases/popup_link fields","03_functions/js/leaflet_tools_adddata_panel.js:current-view refresh and active External row state; 00_config/external_service_catalog.csv:EXT143 load_method=current_view/load_scope=current_view","Initialize/register: leaflet_tools_adddata_panel.js external catalog factory and window.ptOpsExternalCatalogBridge; activate/update: shared current-view feature loader; clear: External Remove/Clear row and Clear All; destroy=shared implicit bridge removal; requests/cancellation=shared where implemented; state keyed by EXT143; labels=NOT_APPLICABLE","00_config/external_service_catalog.csv:EXT143 current notes, source page, best-use, style, popup, hover, and load metadata; 03_functions/js/leaflet_tools_adddata_panel.js shared External ownership","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","LC-GAP-001;LC-GAP-002;CUSTOM_LOADER_FALSE"
"ops_u_s_drought_monitor","U.S. Drought Monitor","OPS_LIVE;OPS_LIVE_CUSTOM_CONTROLLER;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Ops Live/Drought","03_functions/leaflet_ops_live_layer_definition_helpers.r:addOpsLayer name U.S. Drought Monitor,CatalogPromotedExternalLayer,opsKey=ops_us_drought_monitor_current,public service endpoint; 00_config/external_service_catalog.csv:U.S. Drought Monitor (current) shared source row","03_functions/leaflet_ops_live_helpers.r:pt_add_ops_live_layers; 05_map_build/04_build_portatreasure2_core_map.r:pt_add_ops_live_layers; 03_functions/leaflet_ops_live_layer_definition_helpers.r:CatalogPromotedExternalLayer onAdd/onRemove/forceRemove through window.ptOpsExternalCatalogBridge","03_functions/leaflet_ops_live_layer_definition_helpers.r:activeLegendDefs/redrawLegend for U.S. Drought Monitor; 03_functions/js/leaflet_tools_adddata_panel.js:shared drought-category legend adapter","NOT_APPLICABLE","03_functions/js/leaflet_tools_adddata_panel.js:shared External catalog hover/popup fields for U.S. Drought Monitor (current); 03_functions/leaflet_ops_live_layer_definition_helpers.r:status/card text","03_functions/js/leaflet_tools_adddata_panel.js:shared current-view query/state; 03_functions/leaflet_ops_live_layer_definition_helpers.r:CatalogPromotedExternalLayer status and loading state","Initialize/register/activate/update: addOpsLayer and CatalogPromotedExternalLayer onAdd through window.ptOpsExternalCatalogBridge; clear/destroy: Clear Ops/Clear All plus onRemove/forceRemove; timers/status/legend state cleared on remove; source requests owned by shared current-view External loader; producer confirmation=NOT_APPLICABLE","03_functions/leaflet_ops_live_layer_definition_helpers.r:current Drought product definition/note/service links; 00_config/external_service_catalog.csv:shared U.S. Drought Monitor (current) metadata","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","NORMALIZED_LIVE_STATUS_UNKNOWN;PRODUCER_SIDE_CONFIRMATION_NOT_APPLICABLE"
"usgs_streamgages","Points – USGS streamgages (~2.4k)","LOCAL;LOCAL_CUSTOM_CONTROLLER;ACTIVE_CURRENT_RUNTIME;USER_VISIBLE;CUSTOM_CONTROLLER;NON_GENERIC_RENDERER","Local/Water/Monitoring","00_config/config_local_layer_registry.r:LOCAL_LAYER_REGISTRY[layer_id=usgs_streamgages],canonical_group/cache_file/geometry_family,map_display_flag=add_usgs_streamgages; 03_functions/leaflet_layer_local_usgs_helpers.r:pt_add_usgs_layers and pt_add_usgs_streamgage_browser_layer; 04_processed_data/cache/latest/usgs_streamgages_map.rds accepted generated cache","05_map_build/04_build_portatreasure2_core_map.r:layers$usgs_sw,pt_register_local_layer_feature_counts count key Points – USGS streamgages via pt_count_sf_rows,CORE_OVERLAY_GROUPS USGS streamgages entry,pt_add_usgs_layers,pt_add_usgs_streamgage_catalog_legend; 00_config/config_map_display.r:add_usgs_streamgages current flag","03_functions/leaflet_layer_local_usgs_helpers.r:pt_add_usgs_streamgage_catalog_legend and window.BRIM_USGS_SW_LOCAL filter bridge","03_functions/leaflet_layer_local_usgs_helpers.r:browser-built labelLayer and Labels: USGS streamgages control anchor; 00_config/config_labels.r current label flag/group evidence","03_functions/leaflet_layer_local_usgs_helpers.r:browser makePopup/makeTooltip and marker bindings","03_functions/leaflet_layer_local_usgs_helpers.r:pt_add_usgs_streamgage_catalog_legend filter controls and window.BRIM_USGS_SW_LOCAL.applyFilters","Initialize/register: pt_add_usgs_layers control anchors then pt_add_usgs_streamgage_browser_layer controller; activate/update/filter/labels/popup/hover: window.BRIM_USGS_SW_LOCAL and owned cluster/label state; clear/destroy: shared overlay removal and Clear Local/Clear All with controller setActive deactivation, no separately exported controller destroy; network=NOT_APPLICABLE; live=NOT_APPLICABLE","03_functions/leaflet_layer_local_usgs_helpers.r:current source links,legend,filter,popup,hover,cluster,label,controller ownership; 05_map_build/04_build_portatreasure2_core_map.r:current assembly/count; DATA.md","purpose|audience|suitability|scientific_limitations_beyond_current_source","HIGH","LC-GAP-003;DUMMY_ANCHORS_EXCLUDED_RUNTIME_SCAFFOLDING"
